Designator,Mid X,Mid Y,Rotation,Layer
C1,117.1015,-76.984,180.0,top
C10,125.7,-72.8,270.0,top
C100,224.2412,-109.4792,180.0,top
C101,219.9912,-109.479199,180.0,top
C102,215.7412,-109.4792,180.0,top
C103,211.4912,-109.4792,180.0,top
C104,207.2412,-109.4792,180.0,top
C105,202.9912,-109.4792,180.0,top
C106,198.741199,-109.4792,180.0,top
C107,194.491201,-109.4792,180.0,top
C108,190.2412,-109.4792,180.0,top
C109,185.9912,-109.4792,180.0,top
C11,153.65,-70.8,270.0,bottom
C110,181.7412,-109.4792,180.0,top
C111,177.4912,-109.4792,180.0,top
C112,173.2412,-109.479199,180.0,top
C113,168.9912,-109.4792,180.0,top
C114,164.7412,-109.4792,180.0,top
C115,245.4912,-105.229201,180.0,top
C116,241.2412,-105.229201,180.0,top
C117,236.9912,-105.2292,180.0,top
C118,232.7412,-105.2292,180.0,top
C119,228.4912,-105.2292,180.0,top
C12,135.92,-87.16,90.0,bottom
C120,224.2412,-105.2292,180.0,top
C121,219.9912,-105.229201,180.0,top
C122,215.7412,-105.2292,180.0,top
C123,211.4912,-105.2292,180.0,top
C124,207.2412,-105.2292,180.0,top
C125,202.9912,-105.2292,180.0,top
C126,198.7412,-105.229201,180.0,top
C127,194.4912,-105.229201,180.0,top
C128,190.2412,-105.2292,180.0,top
C129,185.9912,-105.2292,180.0,top
C13,151.38,-72.45,90.0,bottom
C130,181.7412,-105.2292,180.0,top
C131,177.4912,-105.2292,180.0,top
C132,173.2412,-105.229201,180.0,top
C133,168.9912,-105.2292,180.0,top
C134,164.7412,-105.2292,180.0,top
C135,245.4912,-100.9792,180.0,top
C136,241.2412,-100.9792,180.0,top
C137,236.9912,-100.9792,180.0,top
C138,232.7412,-100.9792,180.0,top
C139,228.4912,-100.9792,180.0,top
C14,149.98,-88.14,90.0,bottom
C140,224.2412,-100.9792,180.0,top
C141,219.9912,-100.9792,180.0,top
C142,215.7412,-100.9792,180.0,top
C143,211.4912,-100.9792,180.0,top
C144,207.2412,-100.9792,180.0,top
C145,202.9912,-100.9792,180.0,top
C146,198.7412,-100.9792,180.0,top
C147,194.4912,-100.9792,180.0,top
C148,190.2412,-100.9792,180.0,top
C149,185.9912,-100.9792,180.0,top
C15,160.43,-89.23,90.0,top
C150,181.7412,-100.9792,180.0,top
C151,177.4912,-100.9792,180.0,top
C152,173.2412,-100.9792,180.0,top
C153,168.9912,-100.9792,180.0,top
C154,164.7412,-100.9792,180.0,top
C155,245.4912,-96.7292,180.0,top
C156,241.2412,-96.7292,180.0,top
C157,236.9912,-96.7292,180.0,top
C158,232.741199,-96.7292,180.0,top
C159,228.491201,-96.7292,180.0,top
C16,133.14,-90.71,0.0,bottom
C160,224.2412,-96.7292,180.0,top
C161,219.9912,-96.7292,180.0,top
C162,215.7412,-96.7292,180.0,top
C163,211.491199,-96.7292,180.0,top
C164,207.241201,-96.7292,180.0,top
C165,202.9912,-96.7292,180.0,top
C166,198.7412,-96.7292,180.0,top
C167,194.4912,-96.7292,180.0,top
C168,190.2412,-96.7292,180.0,top
C169,185.991199,-96.7292,180.0,top
C17,134.62,-97.61,90.0,top
C170,181.741201,-96.7292,180.0,top
C171,177.4912,-96.7292,180.0,top
C172,173.2412,-96.7292,180.0,top
C173,168.9912,-96.7292,180.0,top
C174,164.7412,-96.7292,180.0,top
C175,245.4912,-92.4792,180.0,top
C176,241.2412,-92.4792,180.0,top
C177,236.9912,-92.4792,180.0,top
C178,232.7412,-92.4792,180.0,top
C179,228.4912,-92.4792,180.0,top
C18,156.59,-82.95,180.0,top
C180,224.2412,-92.4792,180.0,top
C181,219.9912,-92.4792,180.0,top
C182,215.7412,-92.4792,180.0,top
C183,211.4912,-92.4792,180.0,top
C184,207.2412,-92.4792,180.0,top
C185,202.9912,-92.4792,180.0,top
C186,198.7412,-92.4792,180.0,top
C187,194.4912,-92.4792,180.0,top
C188,190.2412,-92.4792,180.0,top
C189,185.9912,-92.4792,180.0,top
C19,149.83,-72.03,90.0,bottom
C190,181.7412,-92.4792,180.0,top
C191,177.4912,-92.4792,180.0,top
C192,173.2412,-92.4792,180.0,top
C193,168.9912,-92.4792,180.0,top
C194,164.7412,-92.4792,180.0,top
C195,245.4912,-88.2292,180.0,top
C196,241.2412,-88.2292,180.0,top
