Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x5.4,2,33uF,C72508
D1,D_SMA,1,SS34 ,C8678
"H2, H4, H5, H6",MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,4,MountingHole_Pad,DNP
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
L1,L_Sunlord_MWSA0503S,1,22uH,C718383
"LS1, LS10, LS11, LS12, LS13, LS14, LS15, LS16, LS17, LS18, LS19, LS2, LS20, LS21, LS22, LS23, LS24, LS25, LS26, LS27, LS28, LS29, LS3, LS30, LS31, LS32, LS4, LS5, LS6, LS7, LS73, LS74, LS75_2, LS75, LS76_2, LS76, LS77, LS78, LS79_2, LS79, LS8, LS80_2, LS80, LS81, LS82, LS83_2, LS83, LS84_2, LS84, LS85, LS86, LS87_2, LS87, LS88_2, LS88, LS9",XDCR_MA40S4S,56,MA40S4S,
R1,0603,1,82k,
R2,0603,1,2k2,
R3,0603,1,0.2,
U1,SOT-23-6,1,MT3608,C84817
U2,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8870DDA,
