Designator,Mid X,Mid Y,Rotation,Layer
C1,46.5,-25.32,0.0,top
C2,61.0,-25.3,0.0,top
D1,33.26,-25.4675,270.0,top
J1,26.62,-30.34,0.0,top
L1,38.39,-25.3,180.0,top
LS1,63.02,-31.5,0.0,bottom
LS10,52.729048,-51.82,180.0,bottom
LS11,42.569048,-51.82,0.0,bottom
LS12,32.409048,-51.82,180.0,bottom
LS13,63.02,-61.98,0.0,bottom
LS14,52.86,-61.98,180.0,bottom
LS15,42.7,-61.98,0.0,bottom
LS16,32.54,-61.98,180.0,bottom
LS17,63.02,-72.14,0.0,bottom
LS18,52.86,-72.14,180.0,bottom
LS19,42.7,-72.14,0.0,bottom
LS2,52.86,-31.5,0.0,bottom
LS20,32.54,-72.14,180.0,bottom
LS21,63.02,-82.3,0.0,bottom
LS22,52.86,-82.3,180.0,bottom
LS23,42.7,-82.3,0.0,bottom
LS24,32.54,-82.3,180.0,bottom
LS25,63.02,-92.46,0.0,bottom
LS26,52.86,-92.46,180.0,bottom
LS27,42.7,-92.46,0.0,bottom
LS28,32.54,-92.46,180.0,bottom
LS29,63.02,-102.62,0.0,bottom
LS3,42.7,-31.5,0.0,bottom
LS30,52.86,-102.62,180.0,bottom
LS31,42.7,-102.62,0.0,bottom
LS32,32.54,-102.62,180.0,bottom
LS4,32.54,-31.5,0.0,bottom
LS5,63.02,-41.66,0.0,bottom
LS6,52.86,-41.66,180.0,bottom
LS7,42.7,-41.66,0.0,bottom
LS73,63.045002,-82.325,90.0,bottom
LS74,63.045002,-72.165,90.0,bottom
LS75_2,63.02,-102.654998,90.0,bottom
LS75,63.045002,-62.004998,90.0,bottom
LS76_2,63.02,-92.495001,90.0,bottom
LS76,63.045002,-51.845001,90.0,bottom
LS77,52.885,-82.325,270.0,bottom
LS78,52.885,-72.165,270.0,bottom
LS79_2,52.859999,-102.655,270.0,bottom
LS79,52.885001,-62.005,270.0,bottom
LS8,32.54,-41.66,180.0,bottom
LS80_2,52.729048,-51.82,270.0,bottom
LS80,52.859999,-92.495,270.0,bottom
LS81,42.725001,-82.324999,90.0,bottom
LS82,42.725001,-72.165,90.0,bottom
LS83_2,42.699999,-102.655,90.0,bottom
LS83,42.725001,-62.005,90.0,bottom
LS84_2,42.569048,-51.82,90.0,bottom
LS84,42.699999,-92.495,90.0,bottom
LS85,32.565001,-82.325,270.0,bottom
LS86,32.565001,-72.165,270.0,bottom
LS87_2,32.539999,-102.655,270.0,bottom
LS87,32.565001,-62.005,270.0,bottom
LS88_2,32.409048,-51.82,270.0,bottom
LS88,32.54,-92.495,270.0,bottom
LS9,63.045002,-51.845001,0.0,bottom
R1,55.465,-24.05,270.0,top
R2,53.165,-24.775,180.0,top
R3,37.94,-33.2,180.0,top
U1,53.74,-27.275,180.0,top
U2,38.29,-36.85,0.0,top
